Country (Country),Species (ASFIS species),Fishing area (FAO major fishing area),Unit (Unit),2010,2011,2012,2013,2014,2015,2016,2017
Thailand,Short neck clams nei,"Pacific, Western Central",Tonnes - live weight,18832,12594,8713,12367,12344,8454,15464,...
Togo,"Needlefishes, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,133,124,65,97,3,82,59,32
Mexico,Black drum,"Pacific, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Poland,Marine fishes nei,"Atlantic, Eastern Central",Tonnes - live weight,14,147,12,44,20,-,3,0 0
Poland,Pink cusk-eel,"Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,Marine fishes nei,"Atlantic, Western Central",Tonnes - live weight,...,...,...,...,1,-,-,-
Papua New Guinea,Marine fishes nei,"Pacific, Western Central",Tonnes - live weight,2565,5673,2122,4178,4770 F,4240 F,4520 F,4520 F
Peru,Marine crustaceans nei,"Pacific, Southeast",Tonnes - live weight,266,21,4,6,165,246,55,27
Poland,Marine fishes nei,"Atlantic, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,Marine fishes nei,"Atlantic, Eastern Central",Tonnes - live weight,80,85,12,5,18,7,2,31
Russian Federation,Deep-water rose shrimp,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Taiwan Province of China,Japanese carpet shell,"Pacific, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,10
Un. Sov. Soc. Rep.,"Conger eels, etc. nei","Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
France,Tadpole codling,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Eritrea,Marine fishes nei,"Indian Ocean, Western",Tonnes - live weight,0 0,1,0 0,0 0,0 0,0 0,0 0,0 0
Russian Federation,Eelpouts,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Russian Federation,Marine fishes nei,"Pacific, Antarctic",Tonnes - live weight,-,-,-,-,-,-,-,-
Saint Lucia,Marine crustaceans nei,"Atlantic, Western Central",Tonnes - live weight,19,24,28,31,25,16,9,19
Sri Lanka,Spottail shark,"Indian Ocean, Eastern",Tonnes - live weight,-,-,-,19,10,...,...,2
Denmark,Hagfish,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,4,58,17
Honduras,Argentine shortfin squid,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
United States of America,American eel,"Atlantic, Western Central",Tonnes - live weight,-,-,-,1,0 0,0 0,-,-
Panama,Marine fishes nei,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Pitcairn Islands,Marine fishes nei,"Pacific, Southwest",Tonnes - live weight,3 F,3 F,3 F,3 F,3 F,3 F,3 F,3 F
Poland,Marine fishes nei,"Pacific, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Romania,Silver scabbardfish,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Russian Federation,Marine fishes nei,"Pacific, Southeast",Tonnes - live weight,-,-,-,-,-,26,-,-
Un. Sov. Soc. Rep.,"Conger eels, etc. nei","Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Mexico,Black drum,"Atlantic, Western Central",Tonnes - live weight,23,93,79,77,419,107,128,119
Panama,Marine fishes nei,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Philippines,Marine fishes nei,"Pacific, Western Central",Tonnes - live weight,15856,14943,14377,14768,13571,12474,15769,14175
Poland,Marine fishes nei,"Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,Marine fishes nei,"Pacific, Eastern Central",Tonnes - live weight,...,...,...,...,...,0 0,0 0,-
Russian Federation,Gastropods nei,"Pacific, Northwest",Tonnes - live weight,6036,4740,4228,4380,5741,4798,5500,5702
Spain,Baleen whales nei,Marine areas outside the Antarctic,Number,-,-,-,1,-,-,-,-
Iceland,Norway redfish,"Atlantic, Northeast",Tonnes - live weight,2601,1427,534,532,550,466,231,150
Poland,Marine fishes nei,"Pacific, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,Marine fishes nei,"Pacific, Southwest",Tonnes - live weight,-,12,...,...,18,0 0,0 0,-
Timor-Leste,Marine fishes nei,"Indian Ocean, Eastern",Tonnes - live weight,3120 F,3120 F,3120 F,3120 F,3120 F,3120 F,3120 F,3120 F
Saint Kitts and Nevis,Marine crustaceans nei,"Atlantic, Western Central",Tonnes - live weight,...,...,...,...,...,...,...,...
United States of America,American eel,"Atlantic, Northwest",Tonnes - live weight,387,527,491,427,453,386,426,368
Brazil,[Loricaria cataphracta],"America, South - Inland waters",Tonnes - live weight,589,555,560,564,557,530 F,530 F,530 F
Argentina,[Odontesthes smitti],"Atlantic, Southwest",Tonnes - live weight,0 0,0 0,-,-,-,-,-,-
Poland,Pink cusk-eel,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Poland,Marine fishes nei,"Indian Ocean, Eastern",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,Kingklip,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,Marine fishes nei,"Indian Ocean, Western",Tonnes - live weight,22,20,1,0 0,12,15,-,33
Russian Federation,Sandeels(=Sandlances) nei,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Russian Federation,Silver scabbardfish,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Un. Sov. Soc. Rep.,"Conger eels, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Brazil,[Lophiosilurus alexandri],"America, South - Inland waters",Tonnes - live weight,571,538,542,547,540,515 F,515 F,515 F
Argentina,Broadnose skate,"Atlantic, Southwest",Tonnes - live weight,0 0,42,25,11,41,57,-,-
Poland,Kingklip,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,Marine fishes nei,"Indian Ocean, Eastern",Tonnes - live weight,2,6,...,...,0 0,1,-,-
Portugal,Pink cusk-eel,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Russian Federation,"Cusk-eels, brotulas nei","Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Russian Federation,Sandeels(=Sandlances) nei,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Sao Tome and Principe,Marine crustaceans nei,"Atlantic, Eastern Central",Tonnes - live weight,8,6 F,5 F,5 F,5 F,...,...,...
Spain,Striped dolphin,Marine areas outside the Antarctic,Number,-,-,1,-,-,3,4,3
Panama,Marine fishes nei,"Atlantic, Western Central",Tonnes - live weight,300 F,800 F,800 F,500 F,500 F,1000 F,1000 F,-
Argentina,Patagonian skate,"Atlantic, Southwest",Tonnes - live weight,12,...,24,-,-,-,-,-
Ireland,Norway redfish,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
New Zealand,River eels nei,Oceania - Inland waters,Tonnes - live weight,583,668,752,1031,590,504,480,494
Spain,Short-finned pilot whale,Marine areas outside the Antarctic,Number,-,-,-,-,-,1,-,1
United Kingdom,European conger,"Atlantic, Northeast",Tonnes - live weight,346,317,213,179,251,186,216,233
Philippines,Marine fishes nei,"Indian Ocean, Eastern",Tonnes - live weight,-,-,-,-,-,-,-,-
Uruguay,Argentine conger,"Atlantic, Southwest",Tonnes - live weight,3,...,44,19,11,2,18,4
Philippines,Indian pellona,"Pacific, Western Central",Tonnes - live weight,1341,1198,1104,1163,1057,947,983,905
Poland,Baird's slickhead,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Poland,Marine fishes nei,"Pacific, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Romania,Sandeels(=Sandlances) nei,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Argentina,Yellownose skate,"Atlantic, Southwest",Tonnes - live weight,1459,714,817,628,432,562,549,264
Brazil,Pati,"America, South - Inland waters",Tonnes - live weight,1,0 0,0 0,0 0,0 0,0 0,0 0,0 0
Croatia,Black scorpionfish,Mediterranean and Black Sea,Tonnes - live weight,...,26,21,24,28,28,26,31
Panama,Marine fishes nei,"Atlantic, Eastern Central",Tonnes - live weight,263,435,-,-,-,-,-,-
Philippines,Marine fishes nei,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,Baird's slickhead,"Atlantic, Northeast",Tonnes - live weight,...,...,18,27,15,17,-,1
Suriname,American harvestfish,"Atlantic, Western Central",Tonnes - live weight,...,...,...,...,...,...,...,...
St. Pierre and Miquelon,American lobster,"Atlantic, Northwest",Tonnes - live weight,...,...,...,...,...,...,...,37
Saudi Arabia,Spinefeet(=Rabbitfishes) nei,"Indian Ocean, Western",Tonnes - live weight,2170,1702,1770,2361,2172,2166,2077,2070 F
Spain,Killer whale,Marine areas outside the Antarctic,Number,-,-,-,-,-,-,-,-
Portugal,Sandeels(=Sandlances) nei,"Atlantic, Northeast",Tonnes - live weight,3,3,3,2,3,19,13,14
Saint Vincent/Grenadines,Marine fishes nei,"Atlantic, Eastern Central",Tonnes - live weight,682,1637,34,759,1453,-,1455,1923
Senegal,"Needlefishes, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,49,43,122,246,95,144,44,85
Malta,Giant red shrimp,Mediterranean and Black Sea,Tonnes - live weight,27,41,48,40,25,9,7,15
Bahrain,Twobar seabream,"Indian Ocean, Western",Tonnes - live weight,90,60,95,250,205,195 F,195 F,195 F
France,Broadtail shortfin squid,"Atlantic, Northeast",Tonnes - live weight,118,672,772,782,860,929,895,1033
Maldives,Oceanic whitetip shark,"Indian Ocean, Western",Tonnes - live weight,...,...,...,8,8,4,...,...
Netherlands,Wolffishes(=Catfishes) nei,"Atlantic, Northeast",Tonnes - live weight,6,4,4,6,11,3,6,11
Poland,Sandeels(=Sandlances) nei,"Atlantic, Northeast",Tonnes - live weight,2,0 0,2339,1574,2898,4324,5400,1365
Portugal,Silver scabbardfish,"Atlantic, Northeast",Tonnes - live weight,84,260,295,415,1087,514,155,155
Russian Federation,Kingklip,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Spain,Pullet carpet shell,Mediterranean and Black Sea,Tonnes - live weight,0 0,1,0 0,0 0,0 0,2,0 0,0 0
Saint Helena,Marine fishes nei,"Atlantic, Southeast",Tonnes - live weight,64,64,61,65,61,60,60,60
Saint Vincent/Grenadines,Marine fishes nei,"Atlantic, Western Central",Tonnes - live weight,744,733,506 F,6,4,23 F,4,6
Russian Federation,Marine fishes nei,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
Indonesia,Chocolate hind,"Pacific, Western Central",Tonnes - live weight,33785,28726,31929,39081,36030,50328,50076,8279
Poland,Silver scabbardfish,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Russian Federation,Baird's slickhead,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Russian Federation,Marine fishes nei,"Pacific, Northwest",Tonnes - live weight,29,376,7,10,4,2,2,16
Sao Tome and Principe,Marine fishes nei,"Atlantic, Eastern Central",Tonnes - live weight,638,1100 F,1880 F,2660 F,3360 F,1529,3292,2400 F
Ukraine,Dealfishes,"Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Isle of Man,European conger,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,Marine crustaceans nei,"Indian Ocean, Western",Tonnes - live weight,...,...,7,-,6,...,...,...
Portugal,Silver scabbardfish,"Atlantic, Eastern Central",Tonnes - live weight,1,33,11,6,0 0,0 0,0 0,0 0
Palau,Marine fishes nei,"Pacific, Western Central",Tonnes - live weight,909 F,882 F,855 F,830 F,800 F,775 F,750 F,750 F
Romania,Kingklip,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Romania,Marine fishes nei,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,-
St. Pierre and Miquelon,Finfishes nei,"Atlantic, Northwest",Tonnes - live weight,-,-,-,...,...,...,-,-
France,Argentine shortfin squid,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
France,Broadtail shortfin squid,Mediterranean and Black Sea,Tonnes - live weight,94,160,74,250,216,63,166,109
Brazil,Banded astyanax,"America, South - Inland waters",Tonnes - live weight,1098,1035,1043,1052,1039,1000 F,1000 F,1000 F
Channel Islands,European conger,"Atlantic, Northeast",Tonnes - live weight,15,15,12,11,9,7,9 F,7
Norway,Common shrimp,"Atlantic, Northeast",Tonnes - live weight,3,8,1,1,0 0,0 0,1,0 0
Poland,Marine fishes nei,"Pacific, Antarctic",Tonnes - live weight,-,-,...,...,...,...,...,...
Portugal,Marine fishes nei,"Pacific, Southeast",Tonnes - live weight,2,2,...,...,...,4,-,8
Réunion,Marine fishes nei,"Indian Ocean, Western",Tonnes - live weight,70,42,15,15,29,35,18,2
Russian Federation,Marine fishes nei,"Pacific, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Spain,Pullet carpet shell,"Atlantic, Northeast",Tonnes - live weight,1184,1181,983,946,937,838,817,810
Saint Kitts and Nevis,Marine fishes nei,"Atlantic, Western Central",Tonnes - live weight,1,2,54,31,57,75,41,11
Portugal,Mozambique lobster,"Indian Ocean, Western",Tonnes - live weight,-,-,-,2,4,...,...,...
Brazil,Oscar,"America, South - Inland waters",Tonnes - live weight,1943,1832,1847,1862,1839,1770 F,1770 F,1770 F
Honduras,Tadpole codling,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Mexico,Atlantic seabob,"Atlantic, Western Central",Tonnes - live weight,638,1868,2585,1916,1756,864,1357,959
Northern Mariana Is.,Spinefeet(=Rabbitfishes) nei,"Pacific, Western Central",Tonnes - live weight,1,2,1,0 0,1,1,1,2
Poland,Marine fishes nei,"Pacific, Southeast",Tonnes - live weight,0 0,-,-,-,-,-,-,-
Russian Federation,Marine fishes nei,"Pacific, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,1
Saint Kitts and Nevis,Marine fishes nei,"Atlantic, Eastern Central",Tonnes - live weight,564,961,202,301,1210,-,2778,9020
United States of America,Fourspot flounder,"Atlantic, Northwest",Tonnes - live weight,8,6,13,10,4,6,4,4
Un. Sov. Soc. Rep.,Blue grenadier,"Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Indonesia,Chocolate hind,"Indian Ocean, Eastern",Tonnes - live weight,14250,15596,14578,14193,14486,17922,14625,6850
Mexico,American eel,"America, North - Inland waters",Tonnes - live weight,-,-,-,-,-,-,-,-
Portugal,Silver scabbardfish,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Russian Federation,Marine fishes nei,"Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
"Venezuela, Boliv Rep of",River prawns nei,"America, South - Inland waters",Tonnes - live weight,-,-,-,-,11,1,1,1 F
Argentina,Broad-nosed caiman,"America, South - Inland waters",Number,1901,10950,11900,11000,12750,10350,9140,4171
Bahrain,Smallscaled grouper,"Indian Ocean, Western",Tonnes - live weight,...,...,70,45,25,24 F,24 F,24 F
Poland,Silver scabbardfish,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Qatar,Marine fishes nei,"Indian Ocean, Western",Tonnes - live weight,736,707,441,428,2218,2296,1697,1172
Russian Federation,Marine fishes nei,"Pacific, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Belgium,European conger,"Atlantic, Northeast",Tonnes - live weight,27,31,38,26,40,29,40,45
Saint Lucia,Marine fishes nei,"Atlantic, Western Central",Tonnes - live weight,402,364,460,346,520,494,372,318
Saudi Arabia,Mojarras(=Silver-biddies) nei,"Indian Ocean, Western",Tonnes - live weight,27,27,26,26,23,25,28,30 F
"Tanzania, United Rep. of",Spinner dolphin,Marine areas outside the Antarctic,Number,-,-,-,-,-,-,-,-
Ukraine,Blue grenadier,"Pacific, Southwest",Tonnes - live weight,...,...,...,...,16504,13863,-,-
Netherlands,Common shrimp,"Atlantic, Northeast",Tonnes - live weight,18939,18023,16909,20280,23565,19226,18465,13664
Japan,Freshwater minnow,Asia - Inland waters,Tonnes - live weight,...,...,...,...,...,...,...,...
Peru,Marine fishes nei,"Pacific, Southeast",Tonnes - live weight,26492,40030,42494,86027,81096,20924,41055,6885
United States of America,North Pacific hake,"Pacific, Eastern Central",Tonnes - live weight,...,...,...,...,...,...,...,...
Portugal,Deep-water rose shrimp,"Atlantic, Northeast",Tonnes - live weight,918,1295,926,494,518,257,223,267
Portugal,Marine crustaceans nei,"Atlantic, Eastern Central",Tonnes - live weight,...,...,2,0 0,...,...,1,1
Qatar,Mojarras(=Silver-biddies) nei,"Indian Ocean, Western",Tonnes - live weight,44,37,55,68,348,252,217,152
United Kingdom,Roundnose grenadier,"Atlantic, Northeast",Tonnes - live weight,25,8,3,6,7,11,5,8
Romania,Marine fishes nei,"Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Un. Sov. Soc. Rep.,Roundnose grenadier,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Saudi Arabia,Marine fishes nei,"Indian Ocean, Western",Tonnes - live weight,1091,1250,1210,1258,1115,1169,1071,1005 F
Spain,"Needlefishes, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,2,4,0 0,0 0,0 0,0 0,0 0,8
United Kingdom,Roughhead grenadier,"Atlantic, Northeast",Tonnes - live weight,1,-,3,-,0 0,-,-,1
Chile,"Filefishes, leatherjackets nei","Pacific, Southeast",Tonnes - live weight,-,-,21,34,-,-,31,-
Germany,Argentine shortfin squid,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Russian Federation,Various sharks nei,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Russian Federation,Baikal seal,Europe - Inland waters,Number,2050,-,1284,1765,547,1434,1631,2084
"Congo, Dem. Rep. of the","Conger eels, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,135,115 F,95 F,76,77,78,238,240 F
Spain,European flying squid,Mediterranean and Black Sea,Tonnes - live weight,304,320,216,315,246,187,372,230
Un. Sov. Soc. Rep.,North Pacific hake,"Pacific, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Un. Sov. Soc. Rep.,Roundnose grenadier,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Yugoslavia SFR,European conger,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,-,-,-
Panama,Gastropods nei,"Pacific, Eastern Central",Tonnes - live weight,53,...,...,...,...,...,...,...
Portugal,Marine crustaceans nei,"Atlantic, Northeast",Tonnes - live weight,5,17,38,8,41,47,18,22
Portugal,Deep-water rose shrimp,"Atlantic, Eastern Central",Tonnes - live weight,152,140,26,...,0 0,...,17,48
Romania,Marine fishes nei,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Russian Federation,Marine fishes nei,"Atlantic, Eastern Central",Tonnes - live weight,18,15,543,356,413,4,72,3
Russian Federation,Caspian seal,Europe - Inland waters,Number,19,28,22,12,5,15,-,-
United States of America,North Pacific hake,"Pacific, Northeast",Tonnes - live weight,161125,225149,157476,229345,260783,151179,253128,351032
"Venezuela, Boliv Rep of",Brazilian sharpnose shark,"Atlantic, Western Central",Tonnes - live weight,...,...,...,...,...,...,104,110 F
Argentina,Pati,"America, South - Inland waters",Tonnes - live weight,315,241,357,94,94,153,119,172
France,European barracuda,Mediterranean and Black Sea,Tonnes - live weight,2,3,1,1,1,1,1,3
Ghana,Argentine shortfin squid,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Italy,Slender rockfish,Mediterranean and Black Sea,Tonnes - live weight,...,...,...,...,...,37,37,27
Pakistan,Parapenaeopsis shrimps nei,"Indian Ocean, Western",Tonnes - live weight,10581,10273,11052,11235,8495,9089,7630,8105
Russian Federation,Marine fishes nei,"Atlantic, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,-
Oman,Baleen whales nei,Marine areas outside the Antarctic,Number,-,-,-,-,-,-,-,-
Ukraine,Roundnose grenadier,"Atlantic, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Norway,Wolffishes(=Catfishes) nei,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Norway,Northern wolffish,"Atlantic, Northeast",Tonnes - live weight,378,393,2264,3532,1078,660,2182,1133
Puerto Rico,Marine crustaceans nei,"Atlantic, Western Central",Tonnes - live weight,-,-,-,-,-,-,-,...
Palau,Mojarras(=Silver-biddies) nei,"Pacific, Western Central",Tonnes - live weight,0 0,...,...,...,...,...,...,-
Romania,Finfishes nei,"Atlantic, Northwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Russian Federation,Marine fishes nei,"Atlantic, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Serbia and Montenegro,Marine fishes nei,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,-,-,-
Spain,European flying squid,"Atlantic, Northeast",Tonnes - live weight,632,640,1170,1548,471,502,571,411
"Congo, Dem. Rep. of the","Conger eels, etc. nei","Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
Brazil,Blackfin goosefish,"Atlantic, Southwest",Tonnes - live weight,2592,2412,2625,2265,2735,2460 F,2460 F,2460 F
Mozambique,Oceanic whitetip shark,"Indian Ocean, Western",Tonnes - live weight,6,6,6,...,...,...,...,...
Ecuador,Titi shrimp,"Pacific, Southeast",Tonnes - live weight,7064,3960,3960 F,6958,9304,9671,3398,517
Romania,Marine fishes nei,"Atlantic, Southeast",Tonnes - live weight,-,-,-,-,-,-,-,-
